chembl_id	accession	pref_name	organism
CHEMBL2095231	A3EZI9	Hepatitis C virus serine protease, NS3/NS4A	Hepatitis C virus
CHEMBL1293269	A3EZJ3	NS3	Hepatitis C virus
CHEMBL2366577	A3EZJ4	Ecdysone receptor	Bemisia tabaci
CHEMBL2366577	A3EZJ5	Ecdysone receptor	Bemisia tabaci
CHEMBL2366586	A3EZJ9	Ecdysone receptor	Myzus persicae
CHEMBL2366586	A3EZK0	Ecdysone receptor	Myzus persicae
CHEMBL2233619	A3FFR5	Beta-lactamase SHV-95	Citrobacter freundii
CHEMBL4082	A3KMY8	Beta-glucuronidase	Bos taurus
CHEMBL2366405	A3QR02	Esterase	Chilo suppressalis
CHEMBL5304	A3RGC1	Vitamin D3 receptor	Sus scrofa
CHEMBL1075062	A3RLP8	Thymidine kinase	Macacine herpesvirus 1
CHEMBL2364187	A4D0S4	Laminin	Homo sapiens
CHEMBL3638343	A4D1B5	Gamma-secretase-activating protein	Homo sapiens
CHEMBL1287595	A4GRB7	GOB-1 metallo-beta-lactamase	Elizabethkingia meningoseptica
CHEMBL2189154	A4GTP0	Galectin-3	Gallus gallus
CHEMBL3350223	A4GXC7	Nicotinic acetylcholine receptor	Drosophila melanogaster
CHEMBL1944501	A4HSF7	Trypanothione reductase	Leishmania infantum
CHEMBL2304401	A4IFJ5	Cytosolic phospholipase A2	Bos taurus
CHEMBL1075063	A4KCT8	Gil1	Citrobacter gillenii
CHEMBL2401604	A4Q9F0	Tubulin polyglutamylase TTLL7	Mus musculus
CHEMBL1075055	A4XI97	Beta-galactosidase	Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903)
CHEMBL5305	A4ZYU9	Beta-lactamase ACC-4	Escherichia coli
CHEMBL4346	A5A0U0	Vasoactive intestinal peptide receptor	Gallus gallus
CHEMBL5306	A5A4K8	Motilin receptor	Oryctolagus cuniculus
CHEMBL5307	A5A4K9	Growth hormone secretagogue receptor type 1	Oryctolagus cuniculus
CHEMBL1795104	A5A8K3	Endothelin receptor type A	Oryctolagus cuniculus
CHEMBL2366564	A5GZW8	Succinate-ubiquinone oxidoreductase	Sus scrofa
CHEMBL5308	A5H8A5	Plasmid efflux fluoroquinolone	Escherichia coli
CHEMBL5309	A5HJU3	CMT-type beta lactamase	Escherichia coli
CHEMBL5344	A5HZZ9	Botulinum neurotoxin type A	Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A)
CHEMBL1944500	A5JV95	Trypanothione reductase	Leishmania amazonensis
CHEMBL2364701	A5LHX3	26S proteosome	Homo sapiens
CHEMBL6062	A5U6Z7	DNA-binding protein hupB	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)
CHEMBL2094132	A5X5Y0	Serotonin 3 (5-HT3) receptor	Homo sapiens
CHEMBL2096904	A5X5Y0	Serotonin (5-HT) receptor	Homo sapiens
CHEMBL2417349	A5Z1V5	Cell division protein FtsZ	Bacillus subtilis
CHEMBL1667684	A5Z252	Neuraminidase	Influenza A virus
CHEMBL5345	A6BMM6	DNA polymerase	Human herpesvirus 5
CHEMBL3188	A6H5Y3	Methionine synthase	Mus musculus
CHEMBL2364188	A6NMZ7	Collagen	Homo sapiens
CHEMBL2366406	A6QP37	PDE7B protein	Bos taurus
CHEMBL3091267	A6QR73	Protein Gpr39	Rattus norvegicus
CHEMBL1909043	A6XA80	Leukotriene C4 synthase	Cavia porcellus
CHEMBL1944499	A6YCJ1	Astrosclerin-3	Astrosclera willeyana
CHEMBL5436	A7L861	Squalene epoxidase	Sus scrofa
CHEMBL1287609	A7LB47	Catechol 2,3-dioxygenase	Stenotrophomonas maltophilia
CHEMBL3562181	A7WP95	Class A carbapenemase	Enterobacter cloacae
CHEMBL2366523	A7XBP7	Acetolactate synthase	Lolium rigidum
CHEMBL5437	A8DS27	Class A carbapenemase KPC-2	Escherichia coli
CHEMBL2109242	A8MPY1	GABA-C receptor	Homo sapiens
CHEMBL3608197	A8PUY1	LIP1, secretory lipase (Family 3)	Malassezia globosa (strain ATCC MYA-4612 / CBS 7966)(Dandruff-associated fungus)
CHEMBL5438	A8QUY6	IMP-19	Aeromonas caviae
CHEMBL5439	A8RR46	Beta-lactamase	Bacillus clausii
CHEMBL2364188	A8TX70	Collagen	Homo sapiens
CHEMBL5440	A9JQL9	Dehydrosqualene synthase	Staphylococcus aureus
CHEMBL6053	A9LM97	Class A carbapenemase	Klebsiella pneumoniae
CHEMBL3600276	A9QW74	P2X purinoceptor	Cavia porcellus
CHEMBL1932900	A9X4R8	Matrix metalloproteinase-12	Canis familiaris
CHEMBL2366408	A9XFY4	Nicotinic acetylcholine receptor alpha 5 subunit	Musca domestica
CHEMBL5441	B0BL08	Dihydrofolate reductase	Escherichia coli
CHEMBL2021746	B0BNF9	Hydroxyacid oxidase 1	Rattus norvegicus
CHEMBL5471	B0FL73	Beta-1 adrenergic receptor	Cavia porcellus
CHEMBL3388	B0LPN4	Ryanodine receptor 2	Rattus norvegicus
CHEMBL1275218	B0M1D1	Okadaic acid binding protein 2.3	Halichondria okadai
CHEMBL2095943	B1WBY8	Histone deacetylase	Rattus norvegicus
CHEMBL1909485	B2LUN4	Glycogen synthase kinase 3 beta	Sus scrofa
CHEMBL2366565	B2LUN4	Glycogen synthase kinase-3	Sus scrofa
CHEMBL2774	B2RQC6	Dihydroorotase	Mus musculus
CHEMBL2073683	B2RX12	Canalicular multispecific organic anion transporter 2	Mus musculus
CHEMBL1293226	B2RXH2	Lysine-specific demethylase 4D-like	Homo sapiens
CHEMBL1667700	B2ZTR6	Beta-lactamase ADC-33	Acinetobacter baumannii
CHEMBL2366409	B3SST5	AChE2	Bemisia tabaci
CHEMBL2366410	B3TNN2	Carboxylesterase	Loxostege sticticalis
CHEMBL3091263	B3VTJ2	GMP-stimulated 3',5'-cyclic nucleotide phosphodiesterase	Macaca mulatta
CHEMBL2311239	B4EB35	D-beta-D-heptose 7-phosphate kinase	Burkholderia cepacia (strain J2315 / LMG 16656) (Burkholderiacenocepacia (strain J2315))
CHEMBL2366411	B4FS76	Delta(14)-sterol reductase	Zea mays
CHEMBL3559640	B4URE7	Hemagglutinin	Influenza A virus
CHEMBL6135	B4URF0	Neuraminidase	Influenza A virus
CHEMBL2163170	B5ATN6	UDP-3-O-acyl-N-acetylglucosamine deacetylase	Pseudomonas aeruginosa
CHEMBL2096663	B5DFI9	Pyruvate dehydrogenase kinase	Rattus norvegicus
CHEMBL1075028	B5SU02	Alpha carbonic anhydrase	Stylophora pistillata
CHEMBL1667666	B5THE3	Sucrase-isomaltase	Mus musculus
CHEMBL2366412	B5U2Z5	Phenol oxidase	Plutella xylostella
CHEMBL1921663	B6F061	Melanin-concentrating hormone receptor 1	Macaca fascicularis
CHEMBL2366413	B6TK44	Cycloeucalenol cycloisomerase	Zea mays
CHEMBL3559641	B7UJP3	1-deoxy-D-xylulose-5-phosphate synthase	Escherichia coli O127:H6 (strain E2348/69 / EPEC)
CHEMBL2566	B7X946	Melatonin receptor 1B	Rattus norvegicus
CHEMBL1075186	B8PY99	CXC chemokine receptor 3	Macaca mulatta
CHEMBL5634	B8Q4Z9	Corticotropin releasing hormone receptor 2	Sus scrofa
CHEMBL1641339	B8R6A5	PenB class A beta-lactamase	Burkholderia cenocepacia
CHEMBL2366576	B8RG26	Ecdysone receptor	Anthonomus grandis
CHEMBL2146352	B9UM26	G-protein coupled receptor 81	Canis familiaris
CHEMBL2146351	B9UM29	G-protein coupled receptor 81	Macaca mulatta
CHEMBL3395	B9V8S1	Glutamate receptor ionotropic kainate 2	Xenopus laevis
CHEMBL5472	B9W4V6	Aromatic peroxygenase	Agrocybe aegerita
CHEMBL1293271	B9W6M3	Serine/threonine-protein phosphatase	Candida dubliniensis (strain CD36 / CBS 7987 / NCPF 3949 / NRRLY-17841) (Yeast)
CHEMBL3392945	C0HJB3	Alpha-mannosidase	Canavalia ensiformis
CHEMBL1649055	C0IX24	Carbonic anhydrase	Stylophora pistillata
CHEMBL2366415	C0L093	Acetolactate synthase	Nicotiana tabacum
CHEMBL3243908	C1JLF0	Dihydrofolate reductase	Oryctolagus cuniculus
CHEMBL2366416	C1KUY1	Odorant-binding protein 1	Acyrthosiphon pisum
CHEMBL2366417	C1KUY2	Odorant-binding protein 2	Acyrthosiphon pisum
CHEMBL2366418	C1KUY3	Odorant-binding protein 3	Acyrthosiphon pisum
CHEMBL2366419	C1N1S5	Protoporphyrinogen IX oxidase	Micromonas pusilla (strain CCMP1545) (Picoplanktonic green alga)
CHEMBL3286084	C3LPU7	Delta-aminolevulinic acid dehydratase	Vibrio cholerae serotype O1 (strain M66-2)
CHEMBL1938227	C3SIU2	Met repressor	Escherichia coli
CHEMBL5473	C3SJS7	DNA polymerase I	Escherichia coli
CHEMBL3559674	C3SLB7	Bifunctional protein GlmU	Escherichia coli
CHEMBL1287603	C3SLN2	DNA gyrase subunit B	Escherichia coli
CHEMBL3627589	C3SLN3	DNA gyrase subunit B	Escherichia coli
CHEMBL6137	C3SWJ7	Thymidylate synthase	Escherichia coli
CHEMBL1795135	C3TDZ2	3-oxoacyl-[acyl-carrier-protein] synthase 3	Escherichia coli
CHEMBL1795152	C3TIE2	Phospho-2-dehydro-3-deoxyheptonate aldolase	Escherichia coli
CHEMBL1293272	C3TRK2	Chaperone protein dnaK	Escherichia coli
CHEMBL1667686	C4LRQ6	Neuraminidase	Influenza A virus
CHEMBL2364704	C4PKY4	Tubulin	Taeniidae
CHEMBL2364704	C4PKZ2	Tubulin	Taeniidae
CHEMBL2364704	C4PKZ6	Tubulin	Taeniidae
CHEMBL1293251	C4YTQ8	ATP-dependent molecular chaperone HSP82	Candida albicans (strain WO-1) (Yeast)
CHEMBL2366420	C5HJ74	Photosystem II protein D1	Chlamydomonas reinhardtii
CHEMBL2366421	C5ISA2	Tubulin alpha 4a	Ovis aries
CHEMBL2366422	C5IU80	Acetylcholinesterase	Spodoptera litura
CHEMBL2366423	C5IW59	Glutamine synthetase	Lolium perenne
CHEMBL2366424	C6L817	Putative protoporphyrinogen IX oxidase	Cucumis sativus
CHEMBL1667695	C7C422	Beta-lactamase NDM-1	Klebsiella pneumoniae
CHEMBL1255122	C7DTR7	Metallo-beta-lactamase VIM-11	Pseudomonas aeruginosa
CHEMBL1667693	C8YUV9	Extended spectrum beta-lactamase CTX-M-71	Klebsiella pneumoniae
CHEMBL1697660	C8Z4T0	Snq2p	Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse)(Baker's yeast)
CHEMBL2366426	D0E0C1	Voltage-gated sodium channel Nav1 alpha subunit	Periplaneta americana
CHEMBL2366564	D0VWV4	Succinate-ubiquinone oxidoreductase	Sus scrofa
CHEMBL2366427	D1KEB8	Polyphenol oxidase	Oryza sativa
CHEMBL1255123	D1MEN9	Metallo-beta-lactamase VIM-2	Pseudomonas aeruginosa
CHEMBL1250341	D1MIX9	Beta-lactamase GES-13	Pseudomonas aeruginosa
CHEMBL2364	D2K2A8	Hepatitis C virus NS4A protein	Hepatitis C virus
CHEMBL2095231	D2K2A8	Hepatitis C virus serine protease, NS3/NS4A	Hepatitis C virus
CHEMBL2259246	D2Y1A6	Superoxide dismutase [Cu-Zn]	Allium sativum
CHEMBL1795164	D3W065	CviR transcriptional regulator	Chromobacterium violaceum
CHEMBL3616356	D3ZDM7	D-aspartate oxidase	Rattus norvegicus
CHEMBL5489	D3ZGQ2	Thymidine kinase 2	Rattus norvegicus
CHEMBL4110	D3ZJF9	Alpha-galactosidase A	Rattus norvegicus
CHEMBL2680	D3ZUM4	Beta-galactosidase	Rattus norvegicus
CHEMBL2630	D3ZWV0	Retinoic acid receptor gamma	Rattus norvegicus
CHEMBL2095179	D4A3N4	Adenylate cyclase	Rattus norvegicus
CHEMBL1926499	D5F1R0	Neuraminidase	Influenza A virus
CHEMBL1697666	D5HSX5	Extended-spectrum beta-lactamase PER-6	Aeromonas allosaccharophila
CHEMBL1255124	D5JGF6	Metallo-beta-lactamase	Pseudomonas stutzeri
CHEMBL1667701	D6NSM8	ADC-11	Acinetobacter baumannii
CHEMBL2364702	E0V9R7	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364025	E0V9W2	GABA-A receptor	Pediculus humanus
CHEMBL2364702	E0VAD1	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364023	E0VB18	Nicotinic acetylcholine receptor	Pediculus humanus capitis
CHEMBL2364023	E0VB20	Nicotinic acetylcholine receptor	Pediculus humanus capitis
CHEMBL2364702	E0VBK5	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VCA5	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VCW8	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VCW9	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364023	E0VDF4	Nicotinic acetylcholine receptor	Pediculus humanus capitis
CHEMBL2364023	E0VDF5	Nicotinic acetylcholine receptor	Pediculus humanus capitis
CHEMBL2364023	E0VDF7	Nicotinic acetylcholine receptor	Pediculus humanus capitis
CHEMBL2364702	E0VDM3	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VDR0	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VED4	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VGV6	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VHL8	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VHZ1	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VJJ0	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VM29	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VMV6	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VMV7	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VMW9	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364023	E0VP62	Nicotinic acetylcholine receptor	Pediculus humanus capitis
CHEMBL2364702	E0VQ45	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VQ46	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VQ47	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VRD2	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VSD4	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VSD5	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VUR0	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VUR1	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VV39	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VV52	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VV70	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VV72	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0VXT9	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364025	E0VY07	GABA-A receptor	Pediculus humanus
CHEMBL2366428	E0VY79	Voltage-dependent L-type calcium channel, putative	Pediculus humanus subsp. corporis
CHEMBL2364702	E0VZW4	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0W115	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0W2B1	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364702	E0W389	Cytochrome P450	Pediculus humanus capitis
CHEMBL2364025	E0W492	GABA-A receptor	Pediculus humanus
CHEMBL2364702	E0W4F7	Cytochrome P450	Pediculus humanus capitis
CHEMBL3350223	E0WN35	Nicotinic acetylcholine receptor	Drosophila melanogaster
CHEMBL2366429	E1BKU0	Uncharacterized protein	Bos taurus
CHEMBL5129	E1BN64	Phosphodiesterase 3B	Bos taurus
CHEMBL2111408	E1BN64	Heart phosphodiesterase	Bos taurus
CHEMBL2364676	E1FVX6	Nematode GABA-A receptor	Onchocercidae
CHEMBL2364676	E1G1C3	Nematode GABA-A receptor	Onchocercidae
CHEMBL2366430	E1G1L1	Glutathione synthetase	Loa loa
CHEMBL1795153	E2QDN0	Thymidylate synthase (EC 2.1.1.45) (TS) (TSase)	Escherichia coli
CHEMBL3559642	E2QF15	Phospho-N-acetylmuramoyl-pentapeptide-transferase	Escherichia coli
CHEMBL3596080	E2R4B8	Uncharacterized protein	Canis lupus familiaris
CHEMBL1649060	E2R517	Uncharacterized protein	Canis familiaris
CHEMBL2176848	E2RDN4	O-acyltransferase	Canis familiaris
CHEMBL2366431	E3SW77	P450 sterol 14-alpha-demethylase	Penicillium digitatum
CHEMBL2285348	E3UJZ5	Ecdysone receptor	Spodoptera littoralis
CHEMBL2366589	E5L6Y0	Ecdysone receptor	Nezara viridula
CHEMBL2366589	E5L6Y1	Ecdysone receptor	Nezara viridula
CHEMBL2133	E9PZQ0	Ryanodine receptor 1	Mus musculus
CHEMBL3108631	E9Q4Z2	Acetyl-CoA carboxylase 2	Mus musculus
CHEMBL2364705	F1L005	Tubulin	Nematoda
CHEMBL2364705	F1L4P8	Tubulin	Nematoda
CHEMBL2364705	F1L5G6	Tubulin	Nematoda
CHEMBL2364705	F1L7U3	Tubulin	Nematoda
CHEMBL2364705	F1L7Y0	Tubulin	Nematoda
CHEMBL2364705	F1L8A5	Tubulin	Nematoda
CHEMBL2364705	F1LCS0	Tubulin	Nematoda
CHEMBL3632456	F1LWD8	Protein Gpr142	Rattus norvegicus
CHEMBL3638348	F1MPW5	Phosphodiesterase	Bos taurus
CHEMBL2169734	F1N083	Uncharacterized protein	Bos taurus
CHEMBL2412949	F1NJH8	Uncharacterized protein	Gallus gallus
CHEMBL3307222	F2SF18	Leucine-tRNA ligase	Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892) (Athlete'sfoot fungus)
CHEMBL2364703	F2SG63	Tubulin	Trichophyton
CHEMBL3307221	F2SHH3	Lanosterol 14-alpha demethylase	Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892) (Athlete'sfoot fungus)
CHEMBL2364703	F2SZ02	Tubulin	Trichophyton
CHEMBL2364703	F2SZD3	Tubulin	Trichophyton
CHEMBL3286085	F4MUJ9	Delta-aminolevulinic acid dehydratase	Yersinia enterocolitica W22703
CHEMBL3515	F4NA86	Penicillin-binding protein 1	Staphylococcus aureus (strain COL)
CHEMBL2169721	F6VR90	Uncharacterized protein	Callithrix jacchus
CHEMBL2157859	F6X9D9	Uncharacterized protein	Macaca mulatta
CHEMBL3038516	F6ZDS4	TPR/MET fusion protein	Mus musculus
CHEMBL2366432	G1SR55	Uncharacterized protein	Oryctolagus cuniculus
CHEMBL2366433	G2YM83	Cytochrome b-c1 complex subunit Rieske, mitochondrial	Botryotinia fuckeliana (strain T4) (Noble rot fungus) (Botrytiscinerea)
CHEMBL2366434	G3EFH9	Photosystem I iron-sulfur center	Panicum virgatum
CHEMBL2366435	G3FIN0	Threonyl-tRNA synthase	Phytophthora sojae
CHEMBL3091261	G3H1Y1	Delta-type opioid receptor	Cricetulus griseus
CHEMBL3638342	G3H407	Prokineticin receptor 2	Cricetulus griseus
CHEMBL3091260	G3HZR5	Kappa-type opioid receptor	Cricetulus griseus
CHEMBL3638345	G3I1B6	5-hydroxytryptamine receptor	Cricetulus griseus
CHEMBL3297642	G3IAK4	Beta-secretase 1	Cricetulus griseus
CHEMBL2146353	G3V906	Protein Gpr81	Rattus norvegicus
CHEMBL3390824	G4WW85	Lanosterol 14-alpha demethylase	Aspergillus
CHEMBL613815	G4XX53	Mitochondrial complex II; succinate dehydrogenase	Septoria tritici
CHEMBL1293304	G5EF15	Cytoplasmic zinc-finger protein	Caenorhabditis elegans
CHEMBL2366436	G7L3C0	Protoporphyrinogen oxidase	Medicago truncatula
CHEMBL3102689	G7Q3P2	G-protein coupled receptor 119	Macaca fascicularis
CHEMBL3562179	G8A3U3	Beta-lactamase	Enterobacter cloacae
CHEMBL2366437	H6TY12	Nicotinic acetylcholine receptor alpha8 subunit	Periplaneta americana
CHEMBL3232689	H9B8T9	Cathepsin B	Capra hircus
CHEMBL2366438	H9BT73	ACCase	Alopecurus japonicus
CHEMBL2366439	H9CNL0	Ryanodien receptor	Spodoptera exigua
CHEMBL3559675	H9EUW9	Sphingosine 1-phosphate receptor 1	Macaca mulatta
CHEMBL2285349	H9TVJ1	TyR1	Chilo suppressalis
CHEMBL2364024	H9U2V9	GABA-A receptor	Sarcoptes scabiei
CHEMBL2364024	H9U2W0	GABA-A receptor	Sarcoptes scabiei
CHEMBL2364024	H9U2W1	GABA-A receptor	Sarcoptes scabiei
CHEMBL2176863	I3LIR5	Uncharacterized protein	Sus scrofa
CHEMBL2366440	I3VR33	Ryanodine receptor	Bemisia tabaci
CHEMBL2366565	I6LNT8	Glycogen synthase kinase-3	Sus scrofa
CHEMBL3611962	I6YFP0	Biotin--acetyl-CoA-carboxylase ligase	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
CHEMBL2366441	J0XGS3	Gamma-glutamyltranspeptidase	Loa loa
CHEMBL2366442	J3SE37	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	Crotalus adamanteus
CHEMBL2366443	J7HAW4	Acetolactate synthase	Raphanus raphanistrum
CHEMBL3603731	J7QX79	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	Escherichia coli
CHEMBL2366444	K2RV19	Peroxidase	Macrophomina phaseolina (strain MS6) (Charcoal rot fungus)
CHEMBL3108659	K4E1M0	6-phospho-1-fructokinase, putative	Trypanosoma cruzi
CHEMBL2366446	K4JQ36	Acetylcholinesterase	Laodelphax striatella
CHEMBL2366447	K4JRP7	Carboxylesterase	Laodelphax striatella
CHEMBL2366448	K7N5L2	Hemagglutinin	Influenza A virus
CHEMBL2366450	M3VH47	Casein kinase 1, delta tv1	Sus scrofa
CHEMBL2366451	M5BZV0	Chitinase A1	Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14) (Lettucebottom rot fungus) (Rhizoctonia solani)
CHEMBL3350223	M9NE13	Nicotinic acetylcholine receptor	Drosophila melanogaster
CHEMBL4728	O00089	Beta-xylosidase	Aspergillus niger
CHEMBL1250342	O00115	Deoxyribonuclease-2-alpha	Homo sapiens
CHEMBL2343	O00141	Serine/threonine-protein kinase Sgk1	Homo sapiens
CHEMBL4580	O00142	Thymidine kinase, mitochondrial	Homo sapiens
CHEMBL1293275	O00167	Eyes absent homolog 2	Homo sapiens
CHEMBL5474	O00182	Galectin-9	Homo sapiens
CHEMBL1743297	O00204	Sulfotransferase family cytosolic 2B member 1	Homo sapiens
CHEMBL5255	O00206	Toll-like receptor 4	Homo sapiens
CHEMBL3038512	O00206	Toll-like receptor 4/MD-2	Homo sapiens
CHEMBL3038513	O00206	Toll-like receptor 4/MD-2/CD14	Homo sapiens
CHEMBL5475	O00214	Galectin-8	Homo sapiens
CHEMBL2363065	O00217	Mitochondrial complex I (NADH dehydrogenase)	Homo sapiens
CHEMBL3551	O00220	TRAIL receptor-1	Homo sapiens
CHEMBL3228	O00222	Metabotropic glutamate receptor 8	Homo sapiens
CHEMBL5476	O00238	Bone morphogenetic protein receptor type-1B	Homo sapiens
